tick,L,b,e_flux,v_coupling,total_q,total_sq,reaction_l1
1148,32,1,460032,2.48744,-241,27903,3480
1148,32,2,183314,96.2166,-241,91295,2070
1148,32,4,96144.4,204.338,-241,532237,784
1149,32,1,461731,169.274,-186,27988,3543
1149,32,2,182988,146.895,-186,91676,2113
1149,32,4,96335.9,-16.3985,-186,535270,821
1150,32,1,462886,157.803,-204,27870,3538
1150,32,2,183705,119.653,-204,91884,1998
1150,32,4,96486.9,141.638,-204,538010,846
1151,32,1,461533,214.419,-250,27872,3528
1151,32,2,183572,88.4303,-250,91646,2088
1151,32,4,96817.7,157.829,-250,534518,836
1152,32,1,462724,-92.5578,-245,27983,3515
1152,32,2,183382,-6.56996,-245,92091,2133
1152,32,4,96652.4,-85.7958,-245,537459,835
1153,32,1,456892,142.646,-205,27903,3550
1153,32,2,181635,139.86,-205,91685,2108
1153,32,4,96751,217.984,-205,537619,840
1154,32,1,457120,106.86,-332,27856,3475
1154,32,2,181816,112.971,-332,91714,2105
1154,32,4,96882.7,78.8942,-332,538684,813
1155,32,1,459302,57.3603,-234,27890,3550
1155,32,2,182356,36.2615,-234,92024,2084
1155,32,4,96915.7,-6.75886,-234,542560,804
1156,32,1,456746,83.927,-208,27880,3582
1156,32,2,181573,-38.8919,-208,93076,2134
1156,32,4,96639.8,76.8391,-208,548860,826
1157,32,1,456218,51.3162,-110,28042,3364
1157,32,2,181308,-45.1101,-110,92932,2000
1157,32,4,97158.5,-37.6047,-110,547294,768
1158,32,1,456420,70.9294,-183,27935,3555
1158,32,2,181117,17.1805,-183,92309,2093
1158,32,4,97109.3,-26.5984,-183,545213,835
1159,32,1,457364,181.039,-279,27935,3542
1159,32,2,181384,100.615,-279,92069,2054
1159,32,4,97327,64.4954,-279,543061,836
1160,32,1,457152,-16.5723,-225,27889,3402
1160,32,2,182220,-10.0867,-225,92603,2040
1160,32,4,98341.7,11.8386,-225,545279,816
1161,32,1,455878,79.9185,-207,27995,3370
1161,32,2,181880,102.915,-207,93001,2040
1161,32,4,98375.6,50.8426,-207,549645,810
1162,32,1,452737,39.1252,-163,27913,3550
1162,32,2,181785,104.46,-163,92733,2074
1162,32,4,98157.7,19.3662,-163,549583,812
1163,32,1,453508,-20.3665,-125,27873,3498
1163,32,2,182243,12.5655,-125,92829,2048
1163,32,4,98689.9,19.3062,-125,552631,798
1164,32,1,455234,92.0816,-98,27802,3531
1164,32,2,183397,0.0269659,-98,93460,2051
1164,32,4,99216.5,75.3085,-98,555720,815
1165,32,1,454842,115.172,-87,27851,3599
1165,32,2,183026,76.8574,-87,93063,2103
1165,32,4,98933.3,51.3037,-87,552511,815
1166,32,1,456832,-147.226,-165,27885,3396
1166,32,2,183760,-73.7661,-165,93787,2020
1166,32,4,99676.8,-2.51497,-165,558129,798
1167,32,1,457809,77.3174,-105,27857,3554
1167,32,2,183284,137.205,-105,94013,2114
1167,32,4,99678.9,110.279,-105,559951,812
1168,32,1,459596,75.3051,-78,27932,3475
1168,32,2,183504,150.691,-78,94004,2039
1168,32,4,100330,98.6301,-78,558890,803
1169,32,1,460619,121.28,-77,27963,3483
1169,32,2,183733,245.796,-77,93651,2107
1169,32,4,100162,142.272,-77,555247,871
1170,32,1,459035,173.026,-168,27870,3427
1170,32,2,183821,29.6408,-168,93866,2047
1170,32,4,100091,109.556,-168,557378,847
1171,32,1,460159,42.4925,-190,28036,3384
1171,32,2,183537,13.0799,-190,94118,2032
1171,32,4,100015,55.499,-190,557388,794
1172,32,1,457182,150.3,-218,27882,3478
1172,32,2,182772,136.053,-218,93758,2090
1172,32,4,100408,111.121,-218,556298,834
1173,32,1,455721,-95.8086,-226,27858,3566
1173,32,2,182575,-43.7062,-226,94130,2168
1173,32,4,100240,60.3398,-226,557734,844
1174,32,1,458686,53.6385,-239,27965,3405
1174,32,2,183375,83.1804,-239,93755,2079
1174,32,4,100810,82.0323,-239,555407,793
1175,32,1,459328,7.66404,-259,28025,3448
1175,32,2,183815,-7.76091,-259,93563,2046
1175,32,4,100553,52.6547,-259,556513,798
1176,32,1,459634,18.3496,-241,27977,3452
1176,32,2,184015,-23.4148,-241,93981,2066
1176,32,4,100547,-3.78188,-241,558561,848
1177,32,1,461054,46.3108,-206,27954,3467
1177,32,2,183721,41.5596,-206,93828,2049
1177,32,4,100451,51.5175,-206,557474,799
1178,32,1,462255,90.1403,-154,28044,3478
1178,32,2,183956,217.327,-154,93798,2044
1178,32,4,100273,210.79,-154,558288,846
1179,32,1,466248,-178.005,-154,28026,3402
1179,32,2,184946,-74.5039,-154,94502,2062
1179,32,4,100573,-25.985,-154,563466,792
1180,32,1,465422,-29.0748,-194,27918,3412
1180,32,2,184715,5.57472,-194,93608,2056
1180,32,4,100923,77.2199,-194,557916,816
1181,32,1,466463,108.702,-222,27958,3470
1181,32,2,185284,91.0939,-222,93096,2084
1181,32,4,100794,24.5405,-222,553354,812
1182,32,1,467759,56.9736,-191,27917,3479
1182,32,2,185768,21.5273,-191,92711,2069
1182,32,4,101235,18.4673,-191,551487,839
1183,32,1,464742,41.8659,-260,27922,3549
1183,32,2,185461,69.5382,-260,92838,2101
1183,32,4,100847,91.8151,-260,552818,869
1184,32,1,466032,105.326,-259,27999,3489
1184,32,2,185967,63.6632,-259,93239,2055
1184,32,4,101205,165.206,-259,555059,841
1185,32,1,466730,134.556,-240,27902,3463
1185,32,2,186727,87.3243,-240,93290,2031
1185,32,4,102272,64.2359,-240,553552,843
1186,32,1,468279,166.882,-242,27886,3482
1186,32,2,186982,138.103,-242,93052,1988
1186,32,4,102145,41.55,-242,553554,796
1187,32,1,470419,32.3228,-188,27956,3460
1187,32,2,187544,-65.2038,-188,93000,2088
1187,32,4,102751,42.9307,-188,552276,838
1188,32,1,471377,139.121,-198,27938,3540
1188,32,2,187089,51.505,-198,92844,2122
1188,32,4,101757,8.84811,-198,548356,834
1189,32,1,470540,93.2724,-213,27923,3435
1189,32,2,187432,3.94191,-213,92525,2089
1189,32,4,101951,17.8851,-213,548899,773
1190,32,1,470205,80.0961,-155,27841,3532
1190,32,2,187705,-91.8755,-155,92557,2114
1190,32,4,101594,-48.4487,-155,550517,838
1191,32,1,472290,162.985,-129,27893,3562
1191,32,2,188206,97.3403,-129,92125,2048
1191,32,4,101993,-3.00194,-129,549679,810
1192,32,1,473076,77.7517,-125,27839,3484
1192,32,2,187804,-32.6352,-125,92183,2080
1192,32,4,101302,12.6275,-125,549073,826
1193,32,1,474764,214.545,-198,27822,3593
1193,32,2,188465,-31.8651,-198,92540,2087
1193,32,4,101655,26.6789,-198,551364,799
1194,32,1,475812,90.45,-252,27854,3484
1194,32,2,188603,116.773,-252,92100,2030
1194,32,4,102267,148.092,-252,550340,800
