x,z,density,Jx,Jy,Jz,state
2,8,6.95820659e-02,6.92690164e-02,-7.74881050e-04,6.54727522e-03,0
2,9,5.66127857e-02,5.65595109e-02,1.44062336e-03,-1.98842603e-03,0
2,10,3.88662520e-02,3.78652820e-02,5.64266094e-04,-8.74571739e-03,0
2,11,3.74983638e-02,3.74046637e-02,-1.27620798e-03,-2.32157518e-03,0
2,12,4.61138049e-02,4.61137513e-02,-5.67516265e-05,4.15843737e-05,0
2,13,2.62862008e-02,2.60454412e-02,-2.37612998e-03,2.63692044e-03,0
2,14,1.25991829e-02,1.19656874e-02,-5.40690763e-04,3.90760655e-03,0
2,15,1.80718140e-02,1.72547119e-02,-2.30996734e-03,4.85071447e-03,0
2,16,2.79049922e-02,2.79022157e-02,-3.93617912e-04,4.00093557e-06,0
2,17,1.80670624e-02,1.72531038e-02,-2.30863836e-03,-4.83935328e-03,0
2,18,1.25913338e-02,1.19607785e-02,-5.06133054e-04,-3.90196031e-03,0
2,19,2.62982931e-02,2.60565530e-02,-2.40077435e-03,-2.62536703e-03,0
2,20,4.61119762e-02,4.61118501e-02,9.72483919e-05,-4.66635875e-05,0
2,21,3.75023803e-02,3.74121228e-02,-1.17924213e-03,2.31753779e-03,0
2,22,3.88500597e-02,3.78469855e-02,7.77942150e-04,8.73656895e-03,0
2,23,5.65489213e-02,5.64882230e-02,1.75934332e-03,1.94058619e-03,0
2,24,6.95410571e-02,6.92272064e-02,-7.76949482e-04,-6.55353828e-03,0
2,25,7.19776295e-02,7.19772012e-02,6.19879196e-05,-2.40426480e-04,0
2,26,6.56522886e-02,6.55429403e-02,-2.25073038e-03,3.04634149e-03,0
2,27,4.81454593e-02,4.59601628e-02,-2.57570453e-03,-1.41072476e-02,0
2,28,1.96439435e-02,1.77338596e-02,3.74022804e-04,-8.44125843e-03,0
2,29,1.44791938e-02,1.06011009e-02,2.40921844e-03,9.56343962e-03,0
2,30,8.94229835e-03,-4.17345965e-03,4.19946775e-03,6.70159719e-03,0
2,31,2.47380904e-02,-2.46169491e-02,2.14719001e-03,1.16983312e-03,0
3,0,2.36486561e-02,-2.36192325e-02,1.17916184e-03,1.92176851e-05,0
3,1,2.42144911e-02,-2.40711481e-02,2.02746656e-03,1.67654082e-03,0
3,2,1.37427128e-02,-8.83497957e-03,4.66434695e-03,9.43658617e-03,0
3,3,9.56025003e-03,3.30676709e-03,3.66422593e-03,8.18761995e-03,0
3,4,1.86267393e-02,1.85826316e-02,-2.88514854e-04,1.24819041e-03,0
3,5,6.70537862e-02,6.67456620e-02,-4.74554900e-05,-6.42063878e-03,0
3,6,8.74747503e-02,8.57046621e-02,-8.57109546e-04,-1.74873725e-02,0
3,7,7.73595673e-02,7.71969334e-02,-2.00020605e-03,-4.59731483e-03,0
3,8,8.71839710e-02,8.67609713e-02,-3.13181343e-03,7.98563701e-03,0
3,9,8.49754272e-02,8.42532878e-02,-5.14346365e-03,-9.78526973e-03,0
3,10,4.95650161e-02,4.88532887e-02,-4.84019040e-03,-6.82785233e-03,0
3,11,4.15470370e-02,4.11523729e-02,-3.62808864e-03,-4.41310058e-03,0
3,12,4.49619671e-02,4.33552987e-02,3.48594429e-04,1.19069326e-02,0
3,13,3.55956031e-02,3.11622008e-02,-1.43762345e-03,1.71434373e-02,0
3,14,2.01192176e-02,1.86340053e-02,2.50046779e-03,7.16271070e-03,0
3,15,2.45991668e-02,2.40819691e-02,1.13445261e-04,5.01646304e-03,0
3,16,3.64492683e-02,3.62477470e-02,3.82752818e-03,-5.34602562e-06,0
3,17,2.45917026e-02,2.40765437e-02,5.52249546e-05,-5.00687806e-03,0
3,18,2.01082040e-02,1.86224920e-02,2.47923221e-03,-7.16910522e-03,0
3,19,3.56002596e-02,3.11668695e-02,-1.64701032e-03,-1.71257725e-02,0
3,20,4.49672766e-02,4.33664886e-02,2.04299799e-04,-1.18895711e-02,0
3,21,4.15525059e-02,4.11597727e-02,-3.59552681e-03,4.42222165e-03,0
3,22,4.96204207e-02,4.88938115e-02,-4.90434237e-03,6.89411142e-03,0
3,23,8.49528776e-02,8.42467778e-02,-4.83440772e-03,9.80307832e-03,0
3,24,8.71097369e-02,8.66928125e-02,-2.85795025e-03,-8.01839354e-03,0
3,25,7.73127717e-02,7.71516601e-02,-2.04610954e-03,4.54966416e-03,0
3,26,8.74911389e-02,8.57233643e-02,-9.44116929e-04,1.74732036e-02,0
3,27,6.70800792e-02,6.67691279e-02,-1.17526549e-04,6.45033132e-03,0
3,28,1.86000755e-02,1.85539725e-02,-3.52874718e-04,-1.26031351e-03,0
3,29,9.55050643e-03,3.26446054e-03,3.63081386e-03,-8.20808511e-03,0
3,30,1.37561746e-02,-8.86904273e-03,4.70144382e-03,-9.40578798e-03,0
3,31,2.42436750e-02,-2.40974299e-02,2.09985012e-03,-1.63103709e-03,0
