y,z,J_total_mag2,J_A_mag2,J_B_mag2,classification
5,40,2.92225155e-10,2.82610136e-08,2.82641204e-08,1
5,41,8.23509264e-09,1.49592534e-08,1.49611167e-08,-1
5,42,7.82010861e-09,2.52524427e-08,2.52545785e-08,-1
5,43,1.67281182e-09,1.45601748e-08,1.45620134e-08,-1
5,44,8.42226274e-10,2.77707623e-09,2.77638976e-09,-1
5,45,2.11814660e-09,6.87210518e-09,6.87051804e-09,-1
5,46,2.52666878e-09,1.07084045e-09,1.07097595e-09,-1
5,47,1.25167193e-10,8.97137672e-09,8.97161746e-09,1
5,48,1.84088977e-08,7.19065649e-09,7.19137722e-09,-1
5,49,1.95148491e-08,1.03549645e-08,1.03544739e-08,-1
5,50,4.41837367e-08,1.83207538e-08,1.83173451e-08,-1
5,51,6.23116167e-08,5.95748049e-08,5.95697001e-08,-1
5,52,1.22779726e-12,3.85242491e-08,3.85224450e-08,1
5,53,5.33456956e-10,2.47599057e-08,2.47647306e-08,1
5,54,2.57951339e-09,6.23376455e-09,6.23591207e-09,-1
5,55,8.79921154e-09,1.26254819e-08,1.26239086e-08,-1
5,56,7.06075669e-10,2.29617044e-08,2.29639841e-08,1
5,57,4.13132764e-10,2.81371748e-08,2.81388237e-08,1
5,58,3.52192969e-11,1.72383406e-09,1.72363090e-09,0
5,59,3.27832219e-09,5.14408202e-08,5.14412319e-08,-1
5,60,7.13405829e-09,1.04897871e-08,1.04892668e-08,-1
5,61,5.38890711e-08,1.43077863e-08,1.43075648e-08,-1
5,62,5.25157930e-08,2.71837200e-08,2.71855323e-08,-1
5,63,2.10193741e-08,1.99615935e-08,1.99626959e-08,-1
6,0,4.54269434e-17,6.93074073e-11,6.94105913e-11,0
6,1,7.47931518e-09,2.49024876e-08,2.49002558e-08,-1
6,2,2.50257728e-08,1.07450366e-08,1.07447632e-08,-1
6,3,2.10866299e-08,1.98374142e-08,1.98382969e-08,-1
6,4,1.19234058e-09,3.51871516e-08,3.51868879e-08,-1
6,5,3.19067691e-09,3.41431425e-09,3.41436450e-09,-1
6,6,8.49401477e-09,9.78202174e-08,9.78198636e-08,-1
6,7,3.12223772e-08,1.41059122e-08,1.41054457e-08,-1
6,8,8.17127712e-09,8.38650944e-09,8.38652702e-09,-1
6,9,2.76462105e-08,1.54370499e-08,1.54364530e-08,-1
6,10,4.62003335e-09,1.57023943e-08,1.57028166e-08,-1
6,11,1.73662686e-10,9.73676816e-09,9.73654463e-09,1
6,12,6.40465613e-09,2.81931501e-08,2.81912094e-08,-1
6,13,4.05866651e-09,2.04081081e-08,2.04078138e-08,-1
6,14,3.35993613e-08,8.67755538e-09,8.67800499e-09,-1
6,15,8.55264198e-09,1.93853139e-08,1.93836256e-08,-1
