y,z,Jx,Jy,Jz,mag,phase,state
54,42,-1.07406339e-04,6.65944457e-07,-1.55331074e-04,1.88849961e-04,3.13539250e+00,0
54,43,-6.54368752e-06,-6.24620469e-05,3.75228224e-05,7.31593421e-05,-1.67517818e+00,0
54,44,7.95535670e-05,-9.76455535e-05,9.06520660e-06,1.26275897e-04,-8.87145344e-01,0
54,45,1.06421005e-04,3.82910989e-05,-8.10802507e-05,1.39160503e-04,3.45385348e-01,0
54,46,-1.26883833e-05,7.19347800e-05,-4.12185767e-05,8.38723954e-05,1.74538777e+00,0
54,47,-1.49722960e-05,7.00957540e-05,3.94429842e-06,7.17853876e-05,1.78123182e+00,0
54,48,7.98091641e-06,1.12510394e-04,-1.35500369e-04,1.76302677e-04,1.49998002e+00,0
54,49,6.22432300e-05,-6.89691770e-07,-6.11892569e-05,8.72858552e-05,-1.10801375e-02,0
54,50,-5.52783033e-05,-6.45124648e-05,4.34058823e-04,4.42294711e-04,-2.27926088e+00,0
54,51,-1.41303933e-04,1.37749760e-06,8.85676250e-05,1.66772069e-04,3.13184449e+00,0
54,52,7.04962302e-05,1.54584913e-05,-9.97126687e-05,1.23090616e-04,2.15864495e-01,0
54,53,1.00600264e-04,-3.43651057e-05,-5.73959393e-05,1.20812530e-04,-3.29172506e-01,0
54,54,-1.03961684e-04,-1.85543048e-04,-2.04931828e-04,2.95349469e-04,-2.08152085e+00,0
54,55,-4.29106039e-05,-3.52983970e-05,-4.35427368e-05,7.05922566e-05,-2.45322047e+00,0
54,56,6.39518736e-05,1.42333480e-04,-1.07716559e-05,1.56411924e-04,1.14851625e+00,0
54,57,-4.45415448e-05,-1.50845751e-04,4.53766970e-04,4.80252905e-04,-1.85791609e+00,0
54,58,9.09618682e-05,6.14113181e-05,2.50923517e-04,2.73875926e-04,5.93840722e-01,0
54,59,1.08565698e-04,1.38571986e-04,-1.11334718e-04,2.08288563e-04,9.06222031e-01,0
54,60,4.66608949e-05,-6.46817874e-05,7.17205164e-05,1.07260455e-04,-9.45857420e-01,0
54,61,7.96917359e-06,-6.86940244e-06,-1.15058944e-04,1.15538984e-04,-7.11417747e-01,0
54,62,-2.29385856e-04,-5.50226304e-05,4.51908166e-05,2.40182370e-04,-2.90617123e+00,0
54,63,-1.40051062e-04,1.97849920e-04,-2.75039244e-05,2.43957694e-04,2.18678143e+00,0
55,0,6.26906188e-10,-1.19830108e-09,3.43599873e-04,3.43599873e-04,-1.08879089e+00,0
55,1,1.01465474e-04,-1.85376258e-04,-1.29788569e-04,2.48001355e-04,-1.06999086e+00,0
55,2,2.15399470e-04,6.89644628e-05,-1.84119727e-04,2.91638651e-04,3.09857207e-01,0
55,3,-5.01359005e-05,-4.50061448e-05,-1.96192633e-05,7.01717684e-05,-2.41005915e+00,0
55,4,-1.05441688e-04,5.10516709e-05,1.18193238e-04,1.66414736e-04,2.69068929e+00,0
55,5,4.88030884e-05,-4.84452823e-05,2.35967669e-04,2.45783294e-04,-7.81718878e-01,0
55,6,1.19059638e-05,-2.33481275e-04,-2.73713057e-04,3.59964020e-04,-1.51984723e+00,0
55,7,-2.18120814e-05,1.15196991e-04,3.84899673e-05,1.23400127e-04,1.75792692e+00,0
55,8,-9.28664565e-05,1.67994814e-04,1.09629696e-04,2.21054533e-04,2.07578180e+00,0
55,9,-9.51871815e-05,9.67333195e-05,-3.27377905e-04,3.54392758e-04,2.34813853e+00,0
55,10,-1.85516844e-05,3.52994816e-05,-1.20922807e-04,1.27328488e-04,2.05467532e+00,0
55,11,1.31773902e-04,-1.24923226e-05,1.88545659e-04,2.30369019e-04,-9.45187098e-02,0
55,12,1.47836936e-04,-4.52063467e-05,1.59056796e-04,2.21807208e-04,-2.96755828e-01,0
55,13,-5.87848858e-05,-2.01805182e-04,-5.03158800e-05,2.16131169e-04,-1.85424808e+00,0
55,14,-8.88949426e-05,-6.21719516e-06,3.60556796e-05,9.61299972e-05,-3.07176767e+00,0
55,15,-3.13493048e-05,2.41704564e-04,1.52200460e-04,2.87347969e-04,1.69977721e+00,0
55,16,5.71818406e-05,7.90975469e-05,1.64927686e-04,1.91643749e-04,9.44847527e-01,0
55,17,5.36010054e-05,-5.67789099e-05,3.72156242e-05,8.64980640e-05,-8.14180818e-01,0
55,18,3.27247812e-05,-7.71222043e-06,-4.84777814e-05,5.89956349e-05,-2.31445969e-01,0
55,19,4.01514191e-05,-5.22683423e-05,-2.18864578e-04,2.28573444e-04,-9.15762100e-01,0
55,20,-2.45192565e-05,-9.42918043e-06,-1.58322106e-04,1.60486737e-04,-2.77446511e+00,0
55,21,-3.60399438e-05,1.55588998e-05,-1.01249311e-04,1.08592724e-04,2.73405009e+00,0
55,22,8.84410523e-06,3.72821361e-05,-1.75473525e-04,1.79608279e-04,1.33788066e+00,0
55,23,1.14189251e-05,-2.31610004e-05,-2.57386238e-04,2.58678370e-04,-1.11274521e+00,0
55,24,-1.11944377e-04,-7.71660360e-05,-1.32801743e-04,1.90059053e-04,-2.53806724e+00,0
55,25,-1.10649277e-04,2.50099352e-05,-7.43894724e-05,1.35656009e-04,2.91929910e+00,0
55,26,-2.38853154e-05,7.04238131e-05,-6.40029247e-05,9.81141994e-05,1.89778646e+00,0
55,27,-6.71604783e-07,-8.96644425e-05,1.44609103e-04,1.70152743e-04,-1.57828639e+00,0
