x,y,z,winding,filament_id,J_mag
34,2,0,-6.283185,0,2.37870902e-04
34,20,0,6.283185,0,1.16499647e-04
34,22,0,-6.283185,0,9.60333111e-05
34,24,0,-6.283185,8,1.02862058e-04
34,32,0,6.283185,0,7.80188309e-05
34,39,0,-6.283185,9,1.02862125e-04
34,41,0,-6.283185,0,9.60332278e-05
34,43,0,6.283185,0,1.16499364e-04
34,61,0,-6.283185,0,2.37871638e-04
35,1,0,6.283185,0,1.96876458e-04
35,3,0,6.283185,0,2.41840548e-04
35,5,0,6.283185,0,2.27144757e-04
35,9,0,6.283185,0,1.39138342e-04
35,10,0,-6.283185,0,2.10922476e-04
35,12,0,-6.283185,0,2.47011379e-04
35,13,0,6.283185,0,1.71731762e-04
35,14,0,-6.283185,0,1.28851457e-04
35,17,0,-6.283185,0,1.05420915e-04
35,24,0,6.283185,8,1.31250645e-04
35,39,0,6.283185,9,1.31250599e-04
35,46,0,-6.283185,0,1.05421174e-04
35,49,0,-6.283185,0,1.28852214e-04
35,50,0,6.283185,0,1.71732379e-04
35,51,0,-6.283185,0,2.47011434e-04
35,53,0,-6.283185,0,2.10922235e-04
35,54,0,6.283185,0,1.39138187e-04
35,58,0,6.283185,0,2.27145106e-04
35,60,0,6.283185,0,2.41840004e-04
35,62,0,6.283185,0,1.96877602e-04
36,6,0,6.283185,0,1.45700119e-04
36,21,0,-6.283185,0,1.33694119e-04
36,42,0,-6.283185,0,1.33694106e-04
36,57,0,6.283185,0,1.45698681e-04
37,0,0,-6.283185,0,3.65776249e-04
37,2,0,-6.283185,0,3.56250145e-04
37,4,0,-6.283185,0,2.43153342e-04
37,8,0,6.283185,0,1.37563546e-04
37,11,0,6.283185,0,1.60205957e-04
37,20,0,6.283185,0,1.02599877e-04
37,24,0,6.283185,0,1.08098153e-04
37,25,0,-6.283185,0,9.09220928e-05
37,38,0,-6.283185,0,9.09224658e-05
37,39,0,6.283185,0,1.08098484e-04
37,43,0,6.283185,0,1.02600227e-04
37,52,0,6.283185,0,1.60205219e-04
37,55,0,6.283185,0,1.37562817e-04
37,59,0,-6.283185,0,2.43152380e-04
37,61,0,-6.283185,0,3.56250275e-04
38,7,0,-6.283185,0,2.14749726e-04
38,11,0,-6.283185,0,1.35439845e-04
38,20,0,-6.283185,0,1.10654777e-04
38,21,0,6.283185,0,1.30902127e-04
38,24,0,-6.283185,0,1.03998430e-04
38,26,0,6.283185,0,1.33196031e-04
38,37,0,6.283185,0,1.33196101e-04
38,39,0,-6.283185,0,1.03998481e-04
38,42,0,6.283185,0,1.30902095e-04
38,43,0,-6.283185,0,1.10654637e-04
38,52,0,-6.283185,0,1.35440570e-04
38,56,0,-6.283185,0,2.14749382e-04
39,0,0,6.283185,0,2.12457434e-04
39,1,0,6.283185,0,2.51443641e-04
39,5,0,-6.283185,0,1.90435033e-04
39,8,0,-6.283185,0,3.09006002e-04
39,10,0,-6.283185,0,2.40818586e-04
39,11,0,6.283185,0,1.11183331e-04
39,12,0,-6.283185,0,6.80249861e-05
39,13,0,6.283185,0,1.13432651e-04
39,15,0,6.283185,0,1.46267445e-04
39,17,0,-6.283185,0,1.65932394e-04
39,18,0,6.283185,0,1.38156877e-04
39,31,0,6.283185,0,1.86616200e-04
39,45,0,6.283185,0,1.38156647e-04
39,46,0,-6.283185,0,1.65932346e-04
39,48,0,6.283185,0,1.46267326e-04
39,50,0,6.283185,0,1.13431977e-04
39,51,0,-6.283185,0,6.80248306e-05
39,52,0,6.283185,0,1.11183868e-04
39,53,0,-6.283185,0,2.40818077e-04
39,55,0,-6.283185,0,3.09006586e-04
39,58,0,-6.283185,0,1.90435210e-04
39,62,0,6.283185,0,2.51443432e-04
40,0,0,-6.283185,0,2.10840368e-04
40,2,0,-6.283185,0,2.35059780e-04
40,3,0,6.283185,0,1.78155156e-04
40,5,0,6.283185,0,1.49262789e-04
40,7,0,6.283185,0,1.51362201e-04
40,12,0,6.283185,0,1.20417905e-04
40,14,0,-6.283185,0,1.71873507e-04
